Time, pendulum.x(0), pendulum.x(1)
0, 1, 0
0.2, 0.04856184748687472, -4.757190762565625
0.4, -0.04384230898899544, -0.4620207823793508
0.6000000000000001, -0.006613951970142054, 0.18614178509426688
0.8, 0.001486136687904884, 0.04050044329023468
1, 0.0004653507609291962, -0.005103929634878439
1.2, -2.6962872141287605E-05, -0.0024615681653524183
1.4, -2.5207597343075365E-05, 8.776373991001632E-06
1.5999999999999999, -1.1384622594601873E-06, 0.00012034567541807592
1.7999999999999998, 1.1131394575079155E-06, 1.1258008584840744E-05
1.9999999999999998, 1.6333695019685224E-07, -4.749012536555322E-06
2.1999999999999997, -3.8177939669092425E-08, -1.0075744493297235E-06
2.4, -1.1635574248857554E-08, 1.3271182710117452E-07
2.6, 7.236306395825561E-10, 6.179602444220058E-08
2.8000000000000003, 6.35089103300667E-10, -4.4270768140945375E-10
3.0000000000000004, 2.653143528252167E-11, -3.0427883400907265E-09
3.2000000000000006, -2.8253700619102912E-11, -2.7392567950812355E-10
3.400000000000001, -4.031011481204605E-12, 1.2111344568949154E-10
3.600000000000001, 9.80178527103433E-13, 2.5055950041540186E-11
3.800000000000001, 2.908431327760331E-13, -3.446676971636994E-12
4.000000000000001, -1.9344284546247284E-14, -1.550937086611401E-12
4.200000000000001, -1.599668455667155E-14, 1.673799994787878E-14
4.400000000000001, -6.140332311684809E-16, 7.691325662751535E-14
4.600000000000001, 7.1692320848395E-16, 6.654782198262151E-15
4.800000000000002, 9.941163339488635E-17, -3.087557875445318E-15
